product_id,product_name,category,subcategory,brand,cost_price,price,current_stock,reorder_level
PROD00001,Atomic Habits,Books,Non-Fiction,Random House,40.23,73.68,80,25
PROD00002,Area Rug,Home & Garden,Home Decor,Stanley,207.56,357.14,300,100
PROD00003,Camping Stove,Sports,Outdoor Sports,Nike,183.6,336.27,300,150
PROD00004,Cricket Bat,Sports,Team Sports,Wilson,795.84,1440.03,200,100
PROD00005,Resistance Bands,Sports,Fitness & Gym Equipment,Spalding,55.74,80.73,300,50
PROD00006,Educated,Books,Non-Fiction,Scholastic,10.25,16.64,90,30
PROD00007,Mountain Bike,Sports,Outdoor Sports,Wilson,614.96,957.42,200,50
PROD00008,Denim Shirt,Clothing,Shirts & Tops,Puma,34.11,53.78,100,60
PROD00009,The Power of Habit,Books,Non-Fiction,Scholastic,43.79,78.59,60,25
PROD00010,Toolbox Kit,Home & Garden,Tools & DIY,Stanley,377.17,615.03,400,50
PROD00011,Calculus Made Easy,Books,Educational & Textbooks,Simon & Schuster,6.78,11.83,200,50
PROD00012,Samsung Galaxy S25,Electronics,Smartphones & Tablets,Apple,745.56,1382.48,500,50
PROD00013,Lenovo ThinkPad X1,Electronics,Laptops & Computers,HP,1589.26,2774.89,500,100
PROD00014,Introduction to Psychology,Books,Educational & Textbooks,Penguin,21.19,34.24,80,40
PROD00015,Bookshelf,Home & Garden,Furniture,Stanley,1442.55,2309.23,400,150
PROD00016,OnePlus 12,Electronics,Smartphones & Tablets,Bose,1467.44,2234.19,500,50
PROD00017,Patio Furniture Set,Home & Garden,Outdoor & Patio,Stanley,1091.49,1944.14,200,100
PROD00018,Cocktail Dress,Clothing,Dresses & Skirts,Adidas,163.64,346.72,200,50
PROD00019,Nike Air Force 1,Clothing,Footwear,Uniqlo,191.45,309.52,100,50
PROD00020,Cookware Set,Home & Garden,Kitchen & Dining,Ashley Furniture,1185.86,2286.77,200,50
PROD00021,Tent,Sports,Outdoor Sports,Decathlon,395.87,736.57,400,150
PROD00022,Cookware Set,Home & Garden,Kitchen & Dining,Bosch,885.3,1642.44,300,100
PROD00023,Surfboard,Sports,Water Sports,Spalding,429.43,713.37,100,100
PROD00024,Dell XPS 15,Electronics,Laptops & Computers,Sony,697.3,1391.12,400,100
PROD00025,Atomic Habits,Books,Non-Fiction,Simon & Schuster,10.06,19.2,50,20
PROD00026,Sweatband,Sports,Sportswear & Accessories,Wilson,43.39,64.81,400,50
PROD00027,Denim Jacket,Clothing,Jackets & Outerwear,Levi's,170.1,261.68,200,50
PROD00028,Fujifilm X-T5,Electronics,Cameras & Accessories,Bose,1647.68,3138.45,300,50
PROD00029,Toolbox Kit,Home & Garden,Tools & DIY,IKEA,159.25,273.72,400,100
PROD00030,Formal Blue Shirt,Clothing,Shirts & Tops,Adidas,173.23,282.56,200,60
PROD00031,Running Shorts,Sports,Sportswear & Accessories,Nike,442.78,765.44,400,50
PROD00032,Tent,Sports,Outdoor Sports,Decathlon,89.48,168.44,400,100
PROD00033,Matilda,Books,Children’s Books,Random House,31.45,54.86,90,30
PROD00034,Asus ROG Zephyrus,Electronics,Laptops & Computers,Canon,1068.44,1795.28,100,50
PROD00035,IKEA Dining Table,Home & Garden,Furniture,Stanley,326.13,631.74,100,50
PROD00036,Vans Old Skool,Clothing,Footwear,Zara,30.04,55.93,100,30
PROD00037,Converse Chuck Taylor,Clothing,Footwear,Uniqlo,41.84,66.5,50,50
PROD00038,Graphic T-Shirt,Clothing,Shirts & Tops,Puma,94.22,181.38,200,20
PROD00039,Jogger Pants,Clothing,Pants & Jeans,H&M,95.84,231.6,60,20
PROD00040,Hammock,Home & Garden,Outdoor & Patio,Ashley Furniture,856.81,1671.71,100,150
PROD00041,Nikon Z8,Electronics,Cameras & Accessories,Fitbit,1896.66,3126.3,500,100
PROD00042,Hiking Backpack,Sports,Outdoor Sports,Spalding,173.79,278.8,400,50
PROD00043,Fitbit Charge 6,Electronics,Wearables & Smart Devices,HP,1384.18,2451.34,100,150
PROD00044,Data Science for Dummies,Books,Educational & Textbooks,Scholastic,11.28,17.89,90,30
PROD00045,Camping Stove,Sports,Outdoor Sports,Wilson,22.08,32.93,400,100
PROD00046,Wilson Basketball,Sports,Team Sports,Puma,299.94,494.28,100,100
PROD00047,Cargo Pants,Clothing,Pants & Jeans,Puma,47.23,117.96,60,30
PROD00048,iPad Pro 12.9,Electronics,Smartphones & Tablets,Fitbit,472.08,885.77,400,50
PROD00049,Cocktail Dress,Clothing,Dresses & Skirts,Uniqlo,50.68,90.05,50,50
PROD00050,Samsung Galaxy S25,Electronics,Smartphones & Tablets,Dell,1229.11,2062.51,100,50
PROD00051,Microwave Oven,Home & Garden,Kitchen & Dining,Ashley Furniture,279.81,374.77,100,50
PROD00052,The Power of Habit,Books,Non-Fiction,HarperCollins,34.8,57.02,80,25
PROD00053,Sweatband,Sports,Sportswear & Accessories,Adidas,298.78,456.58,400,50
PROD00054,Green Eggs and Ham,Books,Children’s Books,HarperCollins,7.86,13.37,200,30
PROD00055,Jogger Pants,Clothing,Pants & Jeans,Levi's,53.33,105.31,60,20
PROD00056,Timberland Boots,Clothing,Footwear,Nike,137.46,336.99,50,50
PROD00057,Treadmill,Sports,Fitness & Gym Equipment,Wilson,697.67,1069.73,300,100
PROD00058,Sweatband,Sports,Sportswear & Accessories,Spalding,222.47,391.19,100,100
PROD00059,GoPro Hero 12,Electronics,Cameras & Accessories,Samsung,1042.47,1776.3,500,50
PROD00060,Winter Parka,Clothing,Jackets & Outerwear,H&M,149.5,325.83,60,50
PROD00061,Blazer Jacket,Clothing,Jackets & Outerwear,Levi's,21.01,38.34,100,30
PROD00062,Running Shorts,Sports,Sportswear & Accessories,Wilson,506.58,917.05,300,100
PROD00063,The Gruffalo,Books,Children’s Books,Penguin,23.73,46.46,70,50
PROD00064,Green Eggs and Ham,Books,Children’s Books,Penguin,12.04,22.12,50,50
PROD00065,Leather Jacket,Clothing,Jackets & Outerwear,Levi's,65.4,130.51,300,60
PROD00066,Introduction to Psychology,Books,Educational & Textbooks,HarperCollins,43.77,68.7,80,30
PROD00067,Windbreaker,Clothing,Jackets & Outerwear,Adidas,83.4,198.46,200,30
PROD00068,Summer Maxi Dress,Clothing,Dresses & Skirts,Zara,87.96,137.06,200,40
PROD00069,AirPods Pro 2,Electronics,Audio & Headphones,Sony,875.64,1449.49,500,150
PROD00070,Coffee Maker,Home & Garden,Kitchen & Dining,Stanley,1484.88,2330.35,300,150
PROD00071,Canon EOS R6,Electronics,Cameras & Accessories,HP,1817.6,2848.83,500,150
PROD00072,Formal Blue Shirt,Clothing,Shirts & Tops,Adidas,92.58,204.89,200,40
PROD00073,Tent,Sports,Outdoor Sports,Puma,146.03,245.81,400,50
PROD00074,Oura Ring Gen3,Electronics,Wearables & Smart Devices,Samsung,734.84,1125.02,500,100
PROD00075,AirPods Pro 2,Electronics,Audio & Headphones,Fitbit,1112.34,1697.6,100,50
PROD00076,Wall Art Painting,Home & Garden,Home Decor,Wayfair,288.52,469.82,100,150
PROD00077,Bookshelf,Home & Garden,Furniture,Ashley Furniture,230.72,451.9,300,100
PROD00078,Vase,Home & Garden,Home Decor,Home Depot,75.24,141.87,100,150
PROD00079,Winter Parka,Clothing,Jackets & Outerwear,Nike,89.98,193.32,60,30
PROD00080,Hockey Stick,Sports,Team Sports,Spalding,123.25,235.52,200,150
PROD00081,Resistance Bands,Sports,Fitness & Gym Equipment,Nike,581.23,939.97,400,50
PROD00082,Resistance Bands,Sports,Fitness & Gym Equipment,Wilson,511.91,876.66,400,100
PROD00083,Garmin Fenix 7,Electronics,Wearables & Smart Devices,Fitbit,1526.31,2950.34,200,100
PROD00084,Timberland Boots,Clothing,Footwear,Zara,115.75,179.92,300,30
PROD00085,Tent,Sports,Outdoor Sports,Wilson,357.69,519.07,300,100
PROD00086,Resistance Bands,Sports,Fitness & Gym Equipment,Spalding,243.79,384.26,300,50
PROD00087,Camping Stove,Sports,Outdoor Sports,Puma,497.66,965.3,400,50
PROD00088,Denim Shirt,Clothing,Shirts & Tops,Zara,52.95,117.59,300,60
PROD00089,Spider-Man: Blue,Books,Comics & Graphic Novels,Penguin,6.06,10.81,70,25
PROD00090,Educated,Books,Non-Fiction,Scholastic,41.14,68.47,200,20
PROD00091,Converse Chuck Taylor,Clothing,Footwear,Nike,127.74,317.02,300,30
PROD00092,AirPods Pro 2,Electronics,Audio & Headphones,Apple,1636.93,2964.27,400,100
PROD00093,Fitbit Charge 6,Electronics,Wearables & Smart Devices,Bose,872.4,1533.61,300,150
PROD00094,Sofa Set,Home & Garden,Furniture,Ashley Furniture,710.53,951.1,400,100
PROD00095,Sweatband,Sports,Sportswear & Accessories,Puma,679.21,1339.18,400,150
PROD00096,Dell XPS 15,Electronics,Laptops & Computers,Fitbit,1844.19,3573.26,300,150
PROD00097,Chino Pants,Clothing,Pants & Jeans,Puma,197.3,341.1,100,50
PROD00098,Baseball Glove,Sports,Team Sports,Nike,396.73,749.16,300,50
PROD00099,Dell XPS 15,Electronics,Laptops & Computers,Google,383.21,740.21,100,150
PROD00100,Becoming,Books,Non-Fiction,Random House,23.37,40.71,200,25
PROD00101,IKEA Dining Table,Home & Garden,Furniture,Stanley,735.84,1029.94,100,100
PROD00102,Patio Furniture Set,Home & Garden,Outdoor & Patio,Stanley,642.71,968.63,100,50
PROD00103,The Gruffalo,Books,Children’s Books,Penguin,21.24,42.47,90,40
PROD00104,Baseball Glove,Sports,Team Sports,Nike,575.91,1075.62,400,100
PROD00105,Wilson Basketball,Sports,Team Sports,Decathlon,468.98,754.69,300,100
PROD00106,Sweatband,Sports,Sportswear & Accessories,Wilson,349.28,538.11,400,100
PROD00107,Blazer Jacket,Clothing,Jackets & Outerwear,Zara,82.82,146.38,50,30
PROD00108,Yoga Pants,Sports,Sportswear & Accessories,Decathlon,156.23,289.9,100,50
PROD00109,The Gruffalo,Books,Children’s Books,Scholastic,45.09,79.72,80,40
PROD00110,Wilson Basketball,Sports,Team Sports,Nike,136.05,239.69,100,100
PROD00111,Casual Polo Shirt,Clothing,Shirts & Tops,H&M,170.56,279.95,200,50
PROD00112,Microwave Oven,Home & Garden,Kitchen & Dining,Wayfair,1170.64,1535.95,100,100
PROD00113,Canon EOS R6,Electronics,Cameras & Accessories,Fitbit,868.9,1633.4,200,50
PROD00114,Kayak,Sports,Water Sports,Puma,634.67,1168.52,400,50
PROD00115,Hockey Stick,Sports,Team Sports,Puma,306.07,572.76,400,150
PROD00116,Stanley Screwdriver Set,Home & Garden,Tools & DIY,IKEA,302.4,560.41,200,150
PROD00117,Beats Studio Pro,Electronics,Audio & Headphones,Sony,385.26,704.4,100,150
PROD00118,Tent,Sports,Outdoor Sports,Adidas,589.77,962.37,100,50
PROD00119,Classic White Shirt,Clothing,Shirts & Tops,H&M,37.51,81.23,100,60
PROD00120,Swing Chair,Home & Garden,Outdoor & Patio,Ashley Furniture,332.35,609.53,100,50
PROD00121,Vans Old Skool,Clothing,Footwear,Zara,189.02,382.34,50,50
PROD00122,Bookshelf,Home & Garden,Furniture,Wayfair,608.78,1090.01,400,50
PROD00123,HP Spectre x360,Electronics,Laptops & Computers,Fitbit,816.01,1381.61,100,100
PROD00124,Resistance Bands,Sports,Fitness & Gym Equipment,Decathlon,627.4,898.04,100,50
PROD00125,Yoga Pants,Sports,Sportswear & Accessories,Wilson,405.84,641.75,100,50
PROD00126,Educated,Books,Non-Fiction,Random House,20.67,37.81,200,20
PROD00127,GoPro Hero 12,Electronics,Cameras & Accessories,Fitbit,612.1,1154.96,100,50
PROD00128,Adidas Ultraboost,Clothing,Footwear,Levi's,23.47,47.26,300,40
PROD00129,Toolbox Kit,Home & Garden,Tools & DIY,IKEA,817.9,1590.2,300,150
PROD00130,To Kill a Mockingbird,Books,Fiction,HarperCollins,34.58,56.88,50,20
PROD00131,Table Lamp,Home & Garden,Home Decor,Bosch,1299.59,1831.39,300,100
PROD00132,Dell XPS 15,Electronics,Laptops & Computers,Google,1601.7,2835.76,300,150
PROD00133,Sofa Set,Home & Garden,Furniture,Bosch,190.28,367.75,300,150
PROD00134,Classic White Shirt,Clothing,Shirts & Tops,Levi's,65.52,127.13,60,30
PROD00135,Bose QuietComfort Ultra,Electronics,Audio & Headphones,HP,337.17,517.71,100,100
PROD00136,Stanley Screwdriver Set,Home & Garden,Tools & DIY,Home Depot,564.73,1028.49,100,150
PROD00137,Cargo Pants,Clothing,Pants & Jeans,Levi's,43.18,74.48,200,20
PROD00138,GoPro Hero 12,Electronics,Cameras & Accessories,Canon,330.33,497.11,300,150
PROD00139,Sapiens,Books,Non-Fiction,Random House,34.8,54.27,200,20
PROD00140,Toolbox Kit,Home & Garden,Tools & DIY,Wayfair,617.1,1099.01,300,50
PROD00141,Treadmill,Sports,Fitness & Gym Equipment,Nike,484.66,878.59,400,50
PROD00142,Nikon Z8,Electronics,Cameras & Accessories,Canon,1945.03,3512.89,300,150
PROD00143,Sleeping Bag,Sports,Outdoor Sports,Decathlon,389.78,624.44,100,100
PROD00144,Slim Fit Jeans,Clothing,Pants & Jeans,H&M,123.89,292.96,300,40
PROD00145,iPad Pro 12.9,Electronics,Smartphones & Tablets,Google,1143.59,1946.65,200,150
PROD00146,Life Jacket,Sports,Water Sports,Adidas,131.51,218.61,400,150
PROD00147,Diary of a Wimpy Kid,Books,Children’s Books,Penguin,29.45,46.99,60,25
PROD00148,iPhone 15 Pro,Electronics,Smartphones & Tablets,Canon,611.04,1005.83,500,100
PROD00149,Snorkel Set,Sports,Water Sports,Decathlon,291.97,490.87,100,150
PROD00150,Toolbox Kit,Home & Garden,Tools & DIY,IKEA,1226.53,2035.24,100,50
PROD00151,The Gruffalo,Books,Children’s Books,Scholastic,9.49,18.02,70,25
PROD00152,Summer Maxi Dress,Clothing,Dresses & Skirts,Zara,104.05,174.54,100,50
PROD00153,Timberland Boots,Clothing,Footwear,Puma,124.05,275.83,200,40
PROD00154,Formal Blue Shirt,Clothing,Shirts & Tops,Puma,143.49,348.84,100,60
PROD00155,Nike Air Force 1,Clothing,Footwear,H&M,101.33,225.02,200,50
PROD00156,Charlotte's Web,Books,Children’s Books,HarperCollins,38.21,62.47,50,40
PROD00157,Cookware Set,Home & Garden,Kitchen & Dining,Stanley,1362.72,1939.66,400,150
PROD00158,Matilda,Books,Children’s Books,Penguin,42.74,78.28,60,20
PROD00159,The Great Gatsby,Books,Fiction,Random House,49.46,88.6,80,30
PROD00160,Cargo Pants,Clothing,Pants & Jeans,Puma,38.21,74.88,300,30
PROD00161,Biology 101,Books,Educational & Textbooks,Scholastic,12.7,19.4,200,25
PROD00162,Swing Chair,Home & Garden,Outdoor & Patio,IKEA,1215.5,1866.71,300,150
PROD00163,Dell XPS 15,Electronics,Laptops & Computers,Apple,1749.79,2900.24,300,50
PROD00164,Hiking Backpack,Sports,Outdoor Sports,Adidas,160.52,247.84,300,150
PROD00165,Calculus Made Easy,Books,Educational & Textbooks,Penguin,48.13,94.49,90,50
PROD00166,Leather Jacket,Clothing,Jackets & Outerwear,Adidas,70.66,170.07,200,40
PROD00167,Office Chair,Home & Garden,Furniture,Stanley,1156.51,1935.64,300,100
PROD00168,Sony Alpha A7 IV,Electronics,Cameras & Accessories,Dell,924.8,1752.38,300,50
PROD00169,Surfboard,Sports,Water Sports,Spalding,711.07,1034.57,100,100
PROD00170,Hammock,Home & Garden,Outdoor & Patio,Home Depot,1194.31,1584.26,300,100
PROD00171,Timberland Boots,Clothing,Footwear,Uniqlo,166.12,297.28,50,60
PROD00172,Summer Maxi Dress,Clothing,Dresses & Skirts,Adidas,36.68,83.71,50,30
PROD00173,Fitbit Charge 6,Electronics,Wearables & Smart Devices,Samsung,1392.65,2567.69,300,50
PROD00174,Bosch Drill Machine,Home & Garden,Tools & DIY,Stanley,224.95,420.9,100,100
PROD00175,Denim Shirt,Clothing,Shirts & Tops,Nike,117.18,212.61,60,40
PROD00176,Dining Plate Set,Home & Garden,Kitchen & Dining,Wayfair,1144.42,2253.1,200,50
PROD00177,Classic White Shirt,Clothing,Shirts & Tops,Puma,144.48,339.31,100,60
PROD00178,Office Chair,Home & Garden,Furniture,Wayfair,443.87,876.14,100,50
PROD00179,Sports T-Shirt,Sports,Sportswear & Accessories,Wilson,324.28,560.91,300,100
PROD00180,Chino Pants,Clothing,Pants & Jeans,Adidas,152.63,305.78,200,50
PROD00181,Harry Potter,Books,Fiction,Simon & Schuster,11.73,19.1,100,30
PROD00182,Bosch Drill Machine,Home & Garden,Tools & DIY,IKEA,276.89,458.39,400,50
PROD00183,Measuring Tape,Home & Garden,Tools & DIY,Stanley,1163.67,1895.55,400,50
PROD00184,Yoga Pants,Sports,Sportswear & Accessories,Decathlon,56.45,103.06,100,150
PROD00185,Dell XPS 15,Electronics,Laptops & Computers,Fitbit,761.55,1337.39,400,50
PROD00186,Stanley Screwdriver Set,Home & Garden,Tools & DIY,Stanley,1447.26,2766.81,200,50
PROD00187,Evening Gown,Clothing,Dresses & Skirts,Puma,156.77,272.8,60,60
PROD00188,Swimming Goggles,Sports,Water Sports,Adidas,107.45,213.74,100,150
PROD00189,Denim Jacket,Clothing,Jackets & Outerwear,H&M,45.6,86.95,100,30
PROD00190,Curtain Set,Home & Garden,Home Decor,Wayfair,1423.86,2300.3,400,50
PROD00191,AirPods Pro 2,Electronics,Audio & Headphones,Bose,880.04,1436.08,200,50
PROD00192,Cargo Pants,Clothing,Pants & Jeans,Puma,110.55,266.62,100,20
PROD00193,Matilda,Books,Children’s Books,HarperCollins,8.14,13.49,60,50
PROD00194,Sofa Set,Home & Garden,Furniture,IKEA,147.39,283.05,400,50
PROD00195,Vase,Home & Garden,Home Decor,Stanley,288.39,422.48,100,150
PROD00196,Sweatband,Sports,Sportswear & Accessories,Puma,616.05,1030.59,200,50
PROD00197,Running Shorts,Sports,Sportswear & Accessories,Decathlon,201.21,329.79,400,50
PROD00198,Hockey Stick,Sports,Team Sports,Wilson,629.46,1072.12,100,100
PROD00199,Evening Gown,Clothing,Dresses & Skirts,Levi's,20.79,34.63,60,20
PROD00200,Yoga Pants,Sports,Sportswear & Accessories,Puma,19.4,34.7,300,150
PROD00201,Sweatband,Sports,Sportswear & Accessories,Puma,76.71,137.14,200,50
PROD00202,Swing Chair,Home & Garden,Outdoor & Patio,Wayfair,68.84,109.99,200,150
PROD00203,To Kill a Mockingbird,Books,Fiction,Simon & Schuster,30.3,51.96,200,30
PROD00204,Treadmill,Sports,Fitness & Gym Equipment,Puma,188.29,273.14,300,100
PROD00205,Swing Chair,Home & Garden,Outdoor & Patio,Home Depot,41.17,80.72,300,50
PROD00206,Samsung Galaxy Buds 3,Electronics,Audio & Headphones,Bose,475.54,850.63,200,100
PROD00207,Charlotte's Web,Books,Children’s Books,Random House,38.89,70.4,70,40
PROD00208,Samsung Galaxy Buds 3,Electronics,Audio & Headphones,Fitbit,1913.25,2907.02,100,150
PROD00209,Formal Blue Shirt,Clothing,Shirts & Tops,Nike,175.84,401.53,50,60
PROD00210,Toolbox Kit,Home & Garden,Tools & DIY,Wayfair,642.76,1031.02,200,100
PROD00211,Camping Stove,Sports,Outdoor Sports,Spalding,178.24,283.94,300,50
PROD00212,Bookshelf,Home & Garden,Furniture,Home Depot,789.98,1429.2,300,150
PROD00213,Fitbit Charge 6,Electronics,Wearables & Smart Devices,Dell,1657.06,2791.95,400,150
PROD00214,Timberland Boots,Clothing,Footwear,Zara,171.05,333.71,200,60
PROD00215,Tent,Sports,Outdoor Sports,Puma,154.88,305.9,400,100
PROD00216,IKEA Dining Table,Home & Garden,Furniture,Stanley,1275.13,1913.71,100,50
PROD00217,Vans Old Skool,Clothing,Footwear,Uniqlo,73.46,145.29,300,60
PROD00218,Fujifilm X-T5,Electronics,Cameras & Accessories,Canon,1651.63,2948.68,200,100
PROD00219,Camping Stove,Sports,Outdoor Sports,Puma,131.09,227.62,400,100
PROD00220,Fujifilm X-T5,Electronics,Cameras & Accessories,Samsung,1425.61,2250.41,300,50
PROD00221,Formal Blue Shirt,Clothing,Shirts & Tops,Nike,166.3,346.94,200,60
PROD00222,Wilson Basketball,Sports,Team Sports,Wilson,464.3,662.38,200,50
PROD00223,Timberland Boots,Clothing,Footwear,Uniqlo,116.29,191.75,300,50
PROD00224,The Gruffalo,Books,Children’s Books,Scholastic,5.12,9.35,70,50
PROD00225,Kettlebell,Sports,Fitness & Gym Equipment,Nike,348.76,621.56,300,100
PROD00226,Fitbit Charge 6,Electronics,Wearables & Smart Devices,Fitbit,475.2,893.88,300,100
PROD00227,To Kill a Mockingbird,Books,Fiction,Random House,33.68,59.73,200,20
PROD00228,Winter Parka,Clothing,Jackets & Outerwear,Adidas,80.92,181.41,100,40
PROD00229,Samsung Galaxy Watch 6,Electronics,Wearables & Smart Devices,Sony,1572.65,2683.03,200,50
PROD00230,Patio Furniture Set,Home & Garden,Outdoor & Patio,Home Depot,262.6,345.4,400,50
PROD00231,Batman: Year One,Books,Comics & Graphic Novels,Penguin,31.72,59.58,50,50
PROD00232,Training Jacket,Sports,Sportswear & Accessories,Adidas,334.35,483.88,200,150
PROD00233,GoPro Hero 12,Electronics,Cameras & Accessories,Fitbit,1135.1,1892.06,500,150
PROD00234,Charlotte's Web,Books,Children’s Books,Random House,10.75,17.75,60,20
PROD00235,Levi's 501 Jeans,Clothing,Pants & Jeans,Levi's,113.47,215.11,300,30
PROD00236,Training Jacket,Sports,Sportswear & Accessories,Puma,735.43,1414.8,100,50
PROD00237,Sleeping Bag,Sports,Outdoor Sports,Decathlon,686.1,1197.39,100,150
PROD00238,Introduction to Psychology,Books,Educational & Textbooks,Simon & Schuster,16.84,31.56,200,30
PROD00239,The Great Gatsby,Books,Fiction,HarperCollins,49.43,97.79,80,40
PROD00240,Snorkel Set,Sports,Water Sports,Nike,659.64,1117.89,300,50
PROD00241,Cocktail Dress,Clothing,Dresses & Skirts,Uniqlo,152.99,349.13,200,30
PROD00242,Resistance Bands,Sports,Fitness & Gym Equipment,Puma,662.94,1279.13,200,50
PROD00243,Cricket Bat,Sports,Team Sports,Puma,725.04,1234.77,400,100
PROD00244,Treadmill,Sports,Fitness & Gym Equipment,Wilson,260.87,496.42,300,150
PROD00245,Casual Polo Shirt,Clothing,Shirts & Tops,Uniqlo,153.25,357.95,300,60
PROD00246,BBQ Grill,Home & Garden,Outdoor & Patio,Wayfair,115.13,172.77,200,50
PROD00247,Wooden Bed Frame,Home & Garden,Furniture,Home Depot,314.06,478.23,400,50
PROD00248,HP Spectre x360,Electronics,Laptops & Computers,Canon,652.3,1112.53,300,100
PROD00249,Maus,Books,Comics & Graphic Novels,HarperCollins,45.57,74.05,70,30
PROD00250,Sony WH-1000XM5,Electronics,Audio & Headphones,Sony,836.67,1631.3,500,50
PROD00251,Swing Chair,Home & Garden,Outdoor & Patio,Home Depot,483.76,898.67,300,100
